Kabupaten/Kota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tahun
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,,2022
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya,2022
Flores Timur,0,2.154,0.001,0.083,0.155,0.058,0.007,2022
Sikka,0,1.917,0.011,0.041,0.077,0.012,0.015,2022
Ende,0,2.192,0.002,0.114,0.053,0.03,0.001,2022
Ngada,0,2.007,0.002,0.069,0.202,0.019,0.001,2022
Manggarai,0,2.432,0.004,0.016,0.102,0.019,0.002,2022
Rote Ndao,0,2.16,-,0.019,0.008,0.01,-,2022
Manggarai Barat,0,2.368,0.005,0.034,0.022,0.021,0.004,2022
Sumba Tengah,0,1.9,-,0.047,0.407,0.007,-,2022
Sumba Barat Daya,0,1.958,0,0.056,0.529,0.009,0.001,2022
Nagekeo,0,1.848,0.003,0.043,0.167,0.012,0.006,2022
Manggarai Timur,0,2.563,0,0.068,0.147,0.023,0.001,2022
Sabu Raijua,0,2.521,0.004,0.143,0.025,0.007,0.005,2022
Malaka,0,2.193,0.013,0.23,0.264,0.01,0.003,2022
Kota Kupang,0,1.775,0,0.071,0.042,0.038,0.002,2022
Sambas,0,1.466,0.007,0.012,0.006,0.038,0.001,2022
Bengkayang,0,1.832,0.005,0.018,0.001,0.026,-,2022
Landak,0,1.927,0.021,0.022,0.005,0.021,0,2022
Mempawah,0,1.53,0.004,0.014,0.005,0.027,0.001,2022
Sanggau,0,1.657,0.01,0.008,0.003,0.022,0,2022
Ketapang,0,1.546,0.008,0.005,0.001,0.017,0,2022
Sintang,0,1.856,0.012,0.007,-,0.025,-,2022
Kapuas Hulu,0,1.763,0.004,0.02,0.006,0.046,-,2022
Sekadau,0,1.869,0.007,0.002,-,0.036,-,2022
Melawi,0,1.705,0.007,0.017,-,0.034,-,2022
Kayong Utara,0,1.65,0.018,0.014,0.001,0.042,-,2022
Kubu Raya,0,1.502,0.002,0.017,0.018,0.035,0,2022
Kota Pontianak,0,1.196,0.003,0.044,0.008,0.04,0.002,2022
Kota Singkawang,0,1.36,0.001,0.03,0,0.039,0.002,2022
Kotawaringin Barat,0,1.676,0.006,0.023,0.003,0.073,0.002,2022
Kotawaringin Timur,0,1.594,0.009,0.02,0.001,0.053,0.003,2022
Kapuas,0,1.83,0.001,0.01,0,0.061,-,2022
Barito Selatan,0,1.758,0.002,0.02,0.001,0.091,-,2022
Barito Utara,0,1.511,0.017,0.032,0.007,0.039,-,2022
Sukamara,0,1.483,0.017,0.011,0.002,0.052,0,2022
Lamandau,0,1.549,0.005,0.022,0.009,0.058,0.001,2022
Seruyan,0,1.694,0.008,0.018,0.001,0.05,-,2022
Katingan,0,1.677,0.014,0.008,0,0.039,0.001,2022
Pulang Pisau,0,1.757,0.004,0.009,0,0.08,-,2022
Gunung Mas,0,1.556,0.003,0.022,0.005,0.02,0.001,2022
Barito Timur,0,1.909,0.006,0.021,0.001,0.067,-,2022
Murung Raya,0,1.679,0.009,0.018,0.001,0.023,0.001,2022
Kota Palangka Raya,0,1.293,0.002,0.042,0.004,0.061,0.002,2022
Tanah Laut,0,1.579,0.003,0.022,0.001,0.073,0.001,2022
Kota Baru,0,1.538,0.005,0.019,0.001,0.063,0.002,2022
Banjar,0,1.627,0.007,0.065,0.003,0.069,0.003,2022
Barito Kuala,0,1.718,0.002,0.04,0.001,0.055,0.002,2022
Tapin,0,1.53,0.002,0.036,0.004,0.067,-,2022
Hulu Sungai Selatan,0,1.64,0.001,0.028,0,0.039,0,2022
Hulu Sungai Tengah,0,1.651,0.004,0.021,0.001,0.035,-,2022
Hulu Sungai Utara,0,1.802,0.005,0.04,0.002,0.065,-,2022
Tabalong,0,1.534,0.003,0.022,0.001,0.088,0.001,2022
Tanah Bumbu,0,1.468,0.003,0.023,0.004,0.06,0,2022
Balangan,0,1.578,0.007,0.024,0.004,0.089,0.002,2022
Kota Banjarmasin,0,1.419,0.002,0.017,0.003,0.034,0.003,2022
Kota Banjar Baru,0,1.24,0.003,0.052,0.003,0.07,0.01,2022
Paser,0,1.45,0.009,0.017,0.002,0.061,-,2022
Kutai Barat,0,1.442,0.003,0.023,0.001,0.027,0,2022
Kutai Kartanegara,0,1.439,0.006,0.025,0.001,0.049,0,2022
Kutai Timur,0,1.413,0.002,0.065,0.002,0.067,0.002,2022
