Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Tana Tidung,0,1.432,0.011,0.019,0.002,0.087,0.003
Nunukan,0,1.499,0.003,0.064,0.009,0.076,0.001
Kota Tarakan,0,1.335,0.003,0.032,0.002,0.066,0.001
Bolaang Mongondow,0,1.939,0.001,0.031,0.032,0.058,0
Minahasa,0,1.874,0.002,0.039,0.012,0.061,0
Kepulauan Sangihe,0,1.693,0.002,0.001,-,0.04,-
Kepulauan Talaud,0,1.716,0.005,0.003,0.004,0.065,-
Minahasa Selatan,0,2.039,0.001,0.014,0.018,0.059,0
Minahasa Utara,0,1.785,0.004,0.02,0,0.053,0
Bolaang Mongondow Utara,0,1.979,0.015,0.027,0.012,0.052,-
Siau Tagulandang Biaro,0,1.873,0.001,0.003,0.002,0.024,-
Minahasa Tenggara,0,2.074,0.005,0.009,0.002,0.048,-
Bolaang Mongondow Selatan,0,1.841,0.004,0.011,0.101,0.038,-
Bolaang Mongondow Timur,0,2.087,0.002,0.02,0.014,0.047,0
Kota Manado,0,1.609,0,0.009,0.01,0.027,0
Kota Bitung,0,1.981,0.002,0.021,0.009,0.046,-
Kota Tomohon,0,1.845,0,0.021,0.015,0.04,0.001
Kota Kotamobagu,0,1.755,0.002,0.022,0.012,0.045,0
Banggai Kepulauan,0,1.822,0.002,0.029,0,0.009,-
Banggai,0,1.975,0.002,0.036,0.004,0.029,0
Morowali,0,1.979,0.011,0.029,0,0.056,0
Poso,0,2.1,0.003,0.028,0.003,0.052,0
Donggala,0,2.346,0.008,0.068,0.032,0.053,0.001
Toli-Toli,0,1.66,0.006,0.073,0.003,0.045,0.001
Buol,0,1.637,0.001,0.063,0.003,0.039,-
Parigi Moutong,0,1.768,0.007,0.071,0.015,0.039,0.001
Tojo Una-Una,0,1.737,0,0.026,0.02,0.033,-
Sigi,0,1.949,0.006,0.038,0.026,0.057,-
Banggai Laut,0,2.041,0.006,0.007,0.001,0.025,0.002
Morowali Utara,0,1.958,0.008,0.037,0.024,0.051,0
Kota Palu,0,1.786,0.004,0.064,0.012,0.06,0.002
Kepulauan Selayar,0,1.859,0.018,0.038,0.08,0.146,0.002
Bulukumba,0,1.818,0.032,0.09,0.058,0.145,0.003
Bantaeng,0,1.629,0.014,0.043,0.07,0.118,0.003
Jeneponto,0,1.991,0.014,0.038,0.013,0.143,0.01
Takalar,0,1.92,0.009,0.026,0.003,0.138,-
